team,underperforming_player,replacement_type,target_role,underperformance_score,severity,action_level,replacement_rank,recommended_player,recommended_team,replacement_score,recent_form_score,role_fit_score,role_match_type,closest_ipl_benchmark,reason
Delhi Capitals,Vipraj Nigam,bowling,middle_overs_bowler,25.71,medium,watchlist,1,Chintan Gaja,Gujarat,85.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Delhi Capitals,Vipraj Nigam,bowling,middle_overs_bowler,25.71,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,83.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Delhi Capitals,Vipraj Nigam,bowling,middle_overs_bowler,25.71,medium,watchlist,3,Mrinmoy Dutta,Assam,81.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Delhi Capitals,Vipraj Nigam,bowling,middle_overs_bowler,25.71,medium,watchlist,4,SI Sopariya,Baroda,79.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Delhi Capitals,Mukesh Kumar,bowling,death_bowler,21.05,medium,watchlist,1,Chintan Gaja,Gujarat,85.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for death_bowler
Delhi Capitals,Mukesh Kumar,bowling,death_bowler,21.05,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,83.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for death_bowler
Delhi Capitals,Mukesh Kumar,bowling,death_bowler,21.05,medium,watchlist,3,Mrinmoy Dutta,Assam,81.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for death_bowler
Delhi Capitals,Mukesh Kumar,bowling,death_bowler,21.05,medium,watchlist,4,SI Sopariya,Baroda,79.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for death_bowler
Gujarat Titans,Jason Holder,batting,finisher,17.82,low,competition_needed,1,A Manohar,Karnataka,78.98,60.82,66.67,exact_role,Tilak Varma,Current batting output below IPL benchmark for finisher
Gujarat Titans,Jason Holder,batting,finisher,17.82,low,competition_needed,2,Rajat Dey,Tripura,76.46,82.6,83.33,exact_role,Tilak Varma,Current batting output below IPL benchmark for finisher
Gujarat Titans,Jason Holder,batting,finisher,17.82,low,competition_needed,3,Chirag Gandhi,Gujarat,70.68,50.36,50.0,exact_role,MS Dhoni,Current batting output below IPL benchmark for finisher
Mumbai Indians,Shardul Thakur,bowling,middle_overs_bowler,25.25,medium,watchlist,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Shardul Thakur,bowling,middle_overs_bowler,25.25,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Shardul Thakur,bowling,middle_overs_bowler,25.25,medium,watchlist,3,Mrinmoy Dutta,Assam,86.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Shardul Thakur,bowling,middle_overs_bowler,25.25,medium,watchlist,4,SI Sopariya,Baroda,84.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Shardul Thakur,bowling,middle_overs_bowler,25.25,medium,watchlist,5,Manisankar Murasingh,Tripura,84.14,25.65,71.43,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Trent Boult,bowling,powerplay_bowler,23.64,medium,watchlist,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,exact_role,Mohsin Khan,Current bowling output below IPL benchmark for powerplay_bowler
Mumbai Indians,Trent Boult,bowling,powerplay_bowler,23.64,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,exact_role,Sandeep Sharma,Current bowling output below IPL benchmark for powerplay_bowler
Mumbai Indians,Trent Boult,bowling,powerplay_bowler,23.64,medium,watchlist,3,SI Sopariya,Baroda,84.47,64.88,85.71,exact_role,Arjun Tendulkar,Current bowling output below IPL benchmark for powerplay_bowler
Mumbai Indians,Trent Boult,bowling,powerplay_bowler,23.64,medium,watchlist,4,Manisankar Murasingh,Tripura,84.14,25.65,71.43,exact_role,Sandeep Sharma,Current bowling output below IPL benchmark for powerplay_bowler
Mumbai Indians,Raghu Sharma,bowling,middle_overs_bowler,20.31,medium,watchlist,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Raghu Sharma,bowling,middle_overs_bowler,20.31,medium,watchlist,2,Sourabh Majumdar,Chhattisgarh,88.29,47.56,78.57,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Raghu Sharma,bowling,middle_overs_bowler,20.31,medium,watchlist,3,Mrinmoy Dutta,Assam,86.33,40.71,42.86,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Raghu Sharma,bowling,middle_overs_bowler,20.31,medium,watchlist,4,SI Sopariya,Baroda,84.47,64.88,85.71,same_domain_fallback,Arjun Tendulkar,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Raghu Sharma,bowling,middle_overs_bowler,20.31,medium,watchlist,5,Manisankar Murasingh,Tripura,84.14,25.65,71.43,same_domain_fallback,Sandeep Sharma,Current bowling output below IPL benchmark for middle_overs_bowler
Mumbai Indians,Will Jacks,bowling,middle_overs_bowler,19.41,low,competition_needed,1,Chintan Gaja,Gujarat,90.83,48.21,57.14,same_domain_fallback,Mohsin Khan,Current bowling output below IPL benchmark for middle_overs_bowler
